54,68,63,Green
54,68,63,Green
55,66,59,Green
55,66,59,Green
55,65,64,Blue
55,65,64,Blue
55,65,64,Blue
54,64,64,Blue
54,64,64,Blue
54,64,64,Blue
54,64,64,Blue
53,64,62,Blue
53,64,62,Blue
57,66,65,Blue
57,66,65,Blue
57,66,65,Blue
56,66,67,Blue
56,66,67,Blue
56,66,67,Blue
56,66,67,Blue
53,66,64,Blue
53,66,64,Blue
54,65,65,Blue
54,65,65,Blue
54,65,65,Blue
55,68,60,Green
55,68,60,Green
55,68,60,Green
55,68,60,Green
55,66,63,Green
55,66,63,Green
55,65,65,Blue
55,65,65,Blue
55,65,65,Blue
55,65,65,Blue
55,65,65,Blue
55,65,65,Blue
55,65,65,Blue
54,64,58,Green
54,64,58,Green
54,65,67,Blue
54,65,67,Blue
54,65,67,Blue
54,68,57,Green
54,68,57,Green
54,68,57,Green
54,68,57,Green
55,66,65,Blue
55,66,65,Blue
56,67,59,Green
56,67,59,Green
56,67,59,Green
53,64,59,Green
53,64,59,Green
53,64,59,Green
53,64,59,Green
56,67,59,Green
56,67,59,Green
55,65,64,Blue
55,65,64,Blue
55,65,64,Blue
53,68,62,Green
53,68,62,Green
53,68,62,Green
53,68,62,Green
57,64,66,Blue
57,64,66,Blue
54,67,63,Green
54,67,63,Green
54,67,63,Green
54,67,67,Blue
54,67,67,Blue
54,67,67,Blue
54,67,67,Blue
54,68,58,Green
54,68,58,Green
54,68,59,Green
54,68,59,Green
54,68,59,Green
55,67,62,Green
55,67,62,Green
55,67,62,Green
55,67,62,Green
53,65,58,Green
53,65,58,Green
55,69,62,Green
55,69,62,Green
55,69,62,Green
54,65,58,Green
54,65,58,Green
54,66,59,Green
54,66,59,Green
54,66,59,Green
54,66,59,Green
54,65,62,Green
54,65,62,Green
54,65,62,Green
54,64,62,Green
54,64,62,Green
54,66,62,Green
54,66,62,Green
54,66,62,Green
54,66,62,Green
55,65,60,Green
55,65,60,Green
55,65,60,Green
54,64,60,Green
54,64,60,Green
55,64,66,Blue
55,64,66,Blue
55,64,66,Blue
55,64,66,Blue
54,65,67,Blue
54,65,67,Blue
54,65,67,Blue
56,66,65,Blue
56,66,65,Blue
54,66,62,Green
54,66,62,Green
54,66,62,Green
54,66,62,Green
55,65,62,Green
55,65,62,Green
55,65,62,Green
55,67,57,Green
55,67,57,Green
